wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length;;;;;;;;R;X
LineString (10.65831419999999952 47.55923310000000015, 10.65949590000000136 47.55796409999999241, 10.66495300000000057 47.55256769999999733, 10.66834650000000195 47.54914079999999643, 10.67290839999999896 47.5467663000000158, 10.67678429999999956 47.54488039999998961, 10.68049040000000005 47.54307380000000904, 10.68421670000000034 47.54127930000000646, 10.6877001000000007 47.5387360000000001, 10.69116600000000084 47.53620440000000968, 10.69464400000000204 47.53364750000000072, 10.69753040000000155 47.53156340000000313, 10.70035030000000198 47.5294954999999959, 10.70517310000000144 47.52747659999999286, 10.7097042000000009 47.52561259999999521, 10.7135446000000023 47.52398970000000133, 10.7168303999999992 47.52260219999999435, 10.72077330000000117 47.52095750000000862, 10.723570500000001 47.51849250000000779, 10.7264362000000002 47.51596659999999162, 10.72926700000000011 47.51347160000000969, 10.73210279999999983 47.51096890000000172, 10.73488449999999972 47.50851410000000641, 10.73741100000000159 47.50626750000000698, 10.73952490000000104 47.50439249999999447, 10.74159429999999915 47.50255180000000621, 10.7438237999999977 47.50061759999999822, 10.74636989999999948 47.49690469999999465, 10.74615769999999948 47.49395239999999063, 10.74595110000000098 47.49115050000000338, 10.74576769999999826 47.48845140000000953, 10.74557790000000068 47.48575659999999488, 10.7438569000000026 47.48314049999998332, 10.74226320000000001 47.4807511000000062, 10.74079840000000097 47.4785306999999932, 10.73931130000000067 47.47631379999998558, 10.74112949999999955 47.47333629999999971, 10.74296509999999749 47.47034440000000188, 10.74472480000000019 47.46744920000000434, 10.74620080000000222 47.46505259999999993, 10.74784470000000169 47.46219570000000232, 10.74865939999999931 47.45985340000000008, 10.74944879999999969 47.45765319999999576, 10.75042630000000088 47.45489010000000007, 10.75279190000000185 47.45220449999999346, 10.75530610000000209 47.44934849999999926, 10.75769170000000052 47.44663410000000425, 10.76001960000000146 47.44398269999999229, 10.76228300000000182 47.44140459999999138, 10.76555539999999844 47.43915740000001335, 10.76875099999999996 47.43694959999999838, 10.77224999999999788 47.43456840000001051, 10.7755092000000019 47.43230969999999758, 10.77850789999999925 47.43027920000000108, 10.78214499999999987 47.42817620000000289, 10.7855326999999992 47.42620910000000833, 10.78905089999999944 47.42419389999999879, 10.79232939999999807 47.42290109999999714, 10.79647390000000051 47.42129170000000471, 10.80004199999999948 47.41987599999999503, 10.80395159999999777 47.41833340000000163, 10.80828849999999974 47.41888130000000245, 10.81256059999999941 47.41940939999999216, 10.81708079999999939 47.41996660000000219, 10.82140769999999996 47.4205011999999968, 10.82557500000000061 47.41925129999999911, 10.83006170000000168 47.41787920000000156, 10.83420180000000066 47.41662889999999919, 10.83822499999999955 47.41541659999999325, 10.84214569999999966 47.41421849999999694, 10.8463767000000022 47.412942699999995, 10.84948690000000227 47.41132199999999131, 10.85280540000000116 47.40959540000000061, 10.85658490000000143 47.40762939999999048, 10.85966770000000103 47.40602740000000637, 10.86342340000000029 47.40407510000000002, 10.86706590000000006 47.40216970000000885, 10.87141280000000165 47.40050819999999021, 10.87491769999999924 47.3968474999999998, 10.87709689999999974 47.39447709999998892, 10.87942000000000142 47.39193430000000262, 10.88347440000000077 47.39121070000000913, 10.88687160000000098 47.39060860000000019, 10.89072600000000257 47.38930489999999196, 10.89420819999999956 47.38812070000000176, 10.89793570000000145 47.38685540000000174, 10.90162630000000021 47.38560410000000189, 10.902528000000002 47.3825839000000002, 10.90010410000000185 47.38015139999999548, 10.89820960000000127 47.37828509999999937, 10.89614139999999942 47.37625619999999316, 10.89403730000000259 47.37418079999998355, 10.89153209999999916 47.37170830000000166, 10.89089489999999927 47.36884479999999797, 10.89035050000000027 47.36652189999999507, 10.88987090000000002 47.36455080000001061, 10.89171360000000099 47.36156179999999694, 10.89350980000000035 47.35855359999999337, 10.89522619999999975 47.35568059999999235, 10.89530019999999766 47.35222460000001377, 10.89898529999999965 47.34927809999999937, 10.89873700000000234 47.3461135000000013, 10.89855460000000065 47.34300510000000628, 10.89637730000000282 47.34041009999999972, 10.89412980000000175 47.33770300000000475, 10.89147970000000143 47.33453769999998428, 10.88915350000000259 47.33174279999998646, 10.89026239999999923 47.3299684000000056, 10.8916264000000016 47.32777089999999731, 10.89334659999999921 47.32498030000001421, 10.89278580000000041 47.32283929999999827, 10.8922276999999994 47.32067849999999964, 10.89157690000000045 47.31814719999999141, 10.8909514999999999 47.31569489999998979, 10.89132430000000085 47.31255170000000732, 10.89378070000000243 47.31008709999999695, 10.89653580000000055 47.30734879999999265, 10.89941649999999917 47.30439570000000771, 10.90209070000000047 47.30171479999998496, 10.90469839999999913 47.29908900000000216, 10.90729370000000209 47.29645899999999159, 10.90980750000000121 47.29392069999998682, 10.90774050000000095 47.29164639999998343, 10.90556939999999919 47.28925740000000388, 10.9036995000000001 47.28719969999999506, 10.90178990000000248 47.28509829999998715, 10.89953899999999898 47.28262120000001545, 10.8972970999999994 47.28015390000000195, 10.89499299999999948 47.27761790000000275, 10.8925736999999998 47.27495519999999374, 10.89020050000000239 47.27234289999998396, 10.8905157999999993 47.27018069999999028, 10.89086050000000228 47.26801189999998343, 10.89039569999999735 47.2636669999999981, 10.88607740000000135 47.26249159999999705, 10.88226630000000128 47.26145430000000403, 10.87785449999999976 47.26025349999998326, 10.87558820000000104 47.25782599999999434, 10.87312010000000129 47.25518219999999303, 10.87292860000000161 47.25242219999999094, 10.8727513000000009 47.24986630000000076, 10.87255580000000066 47.24704839999998995);30970013/0;2.0;Leupolz - Westtirol;380000;4;411;Austrian Power Grid AG;46958.78;;;;;;;;0.500111007;11.512792831736203
LineString (10.87255580000000066 47.24704839999998995, 10.87260410000000022 47.24581660000000483);121290714;1.0;UW Leupolz - UW Westtirol;380000;4;411;Austrian Power Grid AG;137.1;;;;;;;;0.001460115;0.03361254055644191
LineString (10.87197010000000041 47.24626089999999579, 10.87241069999999965 47.24574309999999144);121290721;1.0;;380000;2;428;Austrian Power Grid AG;66.59;;;;;;;;0.001418367;0.0192521241683627
LineString (10.87226440000000061 47.2456341999999978, 10.87197010000000041 47.24626089999999579);121290719;1.0;;380000;2;427;Austrian Power Grid AG;73.21;;;;;;;;0.0015593729999999997;0.02116606112578215
LineString (12.73254999999999981 47.27250899999999234, 12.72870119999999972 47.27253719999999504, 12.72403399999999962 47.27286469999998531, 12.71916949999999957 47.27327710000000138, 12.71535159999999998 47.2735898999999975, 12.71162780000000048 47.273887600000009, 12.70746459999999978 47.2742085000000074, 12.70337840000000007 47.27454920000000271, 12.69916930000000121 47.27419809999998535, 12.69452369999999952 47.27389730000000156, 12.68983000000000239 47.27355070000000126, 12.6862288999999997 47.273894999999996, 12.68328160000000082 47.27417679999999933, 12.67965970000000198 47.27452310000000324, 12.67646779999999929 47.27482820000000885, 12.67288800000000037 47.2751538999999994, 12.66868800000000128 47.27418459999999811, 12.66476330000000239 47.27325889999999475, 12.6617341000000021 47.27254069999999331, 12.65829199999999943 47.27172379999998952, 12.65387469999999936 47.27069959999999327, 12.65064180000000071 47.269949600000011, 12.64702340000000014 47.27135229999998955, 12.64409599999999934 47.27248370000000222, 12.64070369999999954 47.27381170000001021, 12.6384255999999997 47.27469950000000409, 12.63771060000000013 47.27497809999999134, 12.63587590000000027 47.27663040000000194, 12.63386960000000059 47.27842110000000275, 12.62971489999999974 47.27835120000000302, 12.62530849999999916 47.27827709999998973, 12.62156719999999943 47.27821420000000074, 12.61649199999999915 47.27812880000001172, 12.61315210000000064 47.27807260000000156, 12.60872220000000077 47.2779980999999907, 12.60444050000000082 47.27792610000000195, 12.60037420000000097 47.2779091999999892, 12.59571410000000213 47.27788979999999697, 12.59152270000000051 47.27787229999999141, 12.58754249999999963 47.27785580000000465, 12.5838484000000026 47.27784040000000232, 12.57999710000000171 47.27782439999999298, 12.57642899999999919 47.27780949999999649, 12.5729343999999994 47.27779499999999757, 12.5689005999999992 47.2777782000000073, 12.56503310000000262 47.27795960000000264, 12.56136930000000085 47.27813140000000658, 12.55760880000000057 47.27830769999999205, 12.55333830000000006 47.2785080000000093, 12.54865689999999923 47.27872750000000224, 12.54375650000000064 47.27895730000000185, 12.53908020000000256 47.27917659999999955, 12.5344551000000024 47.27939349999999052, 12.53116980000000069 47.27954749999999251, 12.52725720000000109 47.27973849999998635, 12.5225004000000002 47.27995409999998344, 12.5182418000000002 47.28015379999999368, 12.51412859999999938 47.28034660000000144, 12.51033570000000061 47.27949809999999076, 12.50624900000000039 47.27858380000000693, 12.50302579999999963 47.27786270000000002, 12.49926720000000024 47.27702180000000709, 12.49538730000000086 47.27615370000000183, 12.49347390000000146 47.27408040000000256, 12.49235239999999969 47.27286510000000419, 12.49098569999999953 47.27138419999999286, 12.48894209999999916 47.2691695999999979, 12.48843800000000037 47.26681590000000455, 12.48790849999999963 47.26434340000000844, 12.48718799999999973 47.26097880000000373, 12.48666320000000063 47.25852799999999831, 12.48625129999999928 47.25660419999999107, 12.48654209999999942 47.25333630000000795, 12.48678549999999987 47.25060080000000085, 12.48641439999999925 47.24877269999999641, 12.48595810000000128 47.24652439999999842, 12.48551870000000008 47.24435979999999091, 12.48722740000000009 47.24192520000000428, 12.48885499999999915 47.23960619999999011, 12.49054220000000015 47.23720200000000347, 12.49009110000000078 47.23403390000000002, 12.48979450000000035 47.23195090000000818, 12.49101819999999918 47.22964559999999068, 12.49236589999999936 47.22710629999999554, 12.4899678999999999 47.22442019999999729, 12.48855130000000102 47.22283339999999185, 12.48478580000000093 47.22056439999999355, 12.4816874999999996 47.21869740000000348, 12.47852040000000073 47.2167889000000045, 12.47911919999999952 47.21383139999998946, 12.47965839999999993 47.21116820000000303, 12.48020570000000085 47.20846509999999796, 12.47958520000000071 47.20674019999999871, 12.47896989999999917 47.20502950000000197, 12.4783659999999994 47.20335069999999433, 12.47911460000000083 47.20022870000000381, 12.4795057000000007 47.19859739999998993, 12.47986640000000236 47.19709289999999413, 12.48036940000000072 47.19499449999999996, 12.48125929999999961 47.19261730000000199, 12.48200320000000119 47.19062980000000351, 12.48178110000000096 47.18805389999999278, 12.4809107000000008 47.18549629999999695, 12.48023470000000046 47.18259249999999128, 12.48314419999999991 47.18070519999999135, 12.48421199999999942 47.17926269999999533, 12.48532059999999966 47.17776500000000794, 12.48655260000000133 47.17610069999999922, 12.48705419999999933 47.17542309999998906, 12.48721370000000164 47.17520749999999907, 12.48767740000000082 47.17458099999998922, 12.48782540000000019 47.17438109999999796, 12.48870010000000086 47.17319929999999317, 12.48980180000000217 47.17159660000000088, 12.49080799999999947 47.17013270000000347, 12.49168270000000014 47.1688601000000034, 12.49268129999999921 47.16661410000000387, 12.49364109999999961 47.16445519999999902, 12.49440579999999912 47.1627352000000073, 12.49520640000000249 47.16093409999999864, 12.49503529999999962 47.15880260000000135, 12.49493919999999925 47.15760619999998937, 12.49587230000000027 47.15621449999999015, 12.49683470000000263 47.15477889999998951, 12.49692149999999913 47.15287779999999884, 12.49700280000000063 47.15109629999999896, 12.49770020000000059 47.14898960000000017, 12.49856040000000057 47.14639120000000361, 12.49711469999999913 47.14472270000000975, 12.4955739000000019 47.14294429999998925, 12.49387029999999932 47.14097799999999694, 12.4917952000000021 47.1391332000000034, 12.48991460000000231 47.13746129999999113, 12.4886298999999994 47.1363190000000003, 12.48721910000000257 47.13506459999998555, 12.48702809999999985 47.13398380000000998, 12.48680689999999949 47.13273219999999952, 12.48657180000000011 47.13140229999999775, 12.48636699999999955 47.13024329999999651, 12.48604719999999979 47.1284339999999915, 12.48673460000000013 47.12734329999999972, 12.48582479999999961 47.12336770000000286, 12.4878120999999993 47.1220554000000007, 12.48929009999999984 47.12107949999999335, 12.4896837000000005 47.11829730000000893, 12.49298349999999935 47.11663000000000778, 12.49557309999999966 47.11532139999999913, 12.49854670000000034 47.11381879999999711, 12.50049480000000024 47.11160269999999173, 12.50227459999999979 47.1095778999999979, 12.50395280000000042 47.1076687999999919, 12.50564579999999992 47.10574249999999807, 12.50755020000000073 47.10405229999999932, 12.50984010000000168 47.10201979999999367, 12.51229290000000027 47.0998426999999964, 12.5148457999999998 47.09757659999998936, 12.51728460000000176 47.09541169999999255, 12.52037310000000225 47.0930768999999998, 12.52232859999999981 47.09159859999999753, 12.5242672000000006 47.09013300000000157, 12.52656920000000085 47.08839259999998461, 12.52743919999999989 47.08575700000000097, 12.52815410000000007 47.08359099999999842, 12.52910160000000062 47.08072010000000773, 12.52898429999999941 47.07846920000000068, 12.5288289000000006 47.07548759999999533, 12.52868570000000226 47.0727403999999936, 12.52816070000000082 47.07068340000000717, 12.52749129999999944 47.06806000000000978, 12.5290929000000002 47.06647779999999415, 12.5272482000000025 47.06313779999999269, 12.52428920000000012 47.06082749999999493, 12.52407870000000045 47.0570104000000029, 12.52095339999999979 47.05484169999999011, 12.51867580000000046 47.05326130000000262, 12.51644340000000177 47.05061309999999963, 12.5155340000000006 47.04852050000000219, 12.51453000000000237 47.04621010000001036, 12.5151146000000022 47.04341160000000599, 12.51563450000000088 47.04092299999999227, 12.51700450000000053 47.03806500000001023, 12.51842270000000035 47.03510649999999771, 12.52131589999999939 47.03163609999999295, 12.52223320000000051 47.03085429999998723, 12.5237639999999999 47.0295496999999898, 12.52473179999999964 47.02771369999998541, 12.52565270000000197 47.02598950000000855, 12.52822210000000069 47.02351610000000193, 12.5291370999999998 47.02027900000000216, 12.52999250000000053 47.01725289999999546, 12.53071689999999982 47.01468990000000048, 12.53160040000000031 47.01156370000000351, 12.53233690000000067 47.0089580000000069, 12.53302930000000259 47.0065078000000014, 12.53275329999999954 47.00424770000000052, 12.53245500000000234 47.00180510000000567, 12.53214770000000122 46.99928849999999869, 12.53193869999999954 46.99757670000001042, 12.53057080000000134 46.995913299999998, 12.53219479999999919 46.99304659999999956, 12.53503730000000083 46.99045670000000285, 12.53665669999999999 46.98898109999999662, 12.53949540000000162 46.98639459999999701, 12.54252310000000037 46.98363549999999833, 12.5450166000000003 46.98136319999999699, 12.54592710000000011 46.97825519999999244, 12.54680109999999971 46.97527199999999681, 12.54937179999999941 46.97357879999999142, 12.55387170000000019 46.97061459999999755, 12.55503619999999998 46.96931759999998945, 12.55614660000000171 46.96808080000000274, 12.55731779999999986 46.96677619999999109, 12.55797629999999998 46.96329210000000387, 12.5583127999999995 46.96151110000000273, 12.5617744000000009 46.95949070000001768, 12.5638734000000003 46.95634749999999258, 12.56580660000000016 46.95345219999999387, 12.56744130000000226 46.95100399999999041, 12.56936609999999988 46.9481210999999945, 12.57141769999999958 46.94504810000000106, 12.57344849999999958 46.9420061000000004, 12.57487680000000196 46.93986649999999372, 12.57557850000000066 46.93635160000000184, 12.57627470000000081 46.93286420000001158, 12.57768120000000067 46.92994050000000783, 12.58147720000000014 46.9284954999999897, 12.5853830999999996 46.92700860000000063, 12.58955210000000058 46.92542150000000589, 12.5912904000000001 46.92475970000000274, 12.59443609999999936 46.92307260000000468, 12.59803980000000045 46.92180760000000816, 12.60161790000000082 46.92055160000001024, 12.6036190000000019 46.91858089999999493, 12.6056171999999993 46.91661320000000046, 12.60780839999999969 46.91445530000000019, 12.61092110000000055 46.91239370000000974, 12.61389400000000194 46.91042460000000602, 12.61752959999999923 46.90801660000000339, 12.61942009999999925 46.90584790000000481, 12.6214701999999992 46.90351050000000299, 12.6245857000000008 46.90229039999999117, 12.62726789999999966 46.90123990000000731, 12.63137429999999917 46.90048620000001733, 12.63446549999999924 46.89899129999999872, 12.63816729999999922 46.89720109999998954, 12.64099590000000006 46.89583309999999017, 12.6436578000000015 46.89454570000000899, 12.64593960000000017 46.89260299999998693, 12.64866379999999957 46.89028360000000362, 12.65127350000000028 46.88806159999999323, 12.6543586000000019 46.88543469999999758, 12.65662670000000034 46.88350329999999389, 12.65744070000000043 46.88176169999999132, 12.65839680000000023 46.8795946999999984, 12.66098560000000006 46.87707340000000755, 12.66306210000000121 46.87504340000000269, 12.66558589999999995 46.87257060000000308, 12.66855050000000027 46.8708593999999934, 12.67164230000000025 46.86922529999999654, 12.67479340000000043 46.86748460000000449, 12.67771980000000021 46.8658678999999978, 12.68082410000000237 46.86415310000000289, 12.6843780000000006 46.862189800000003, 12.68776860000000006 46.86031650000000326, 12.69119230000000087 46.85841499999999371, 12.69324149999999918 46.85728290000000129, 12.69598419999999983 46.85524619999999629, 12.69911970000000068 46.85303049999999558, 12.70182310000000037 46.85122649999998856, 12.70432650000000052 46.84947999999999979, 12.70712770000000091 46.84750590000000869, 12.70961340000000028 46.84575399999999945, 12.71206250000000182 46.84402789999999328, 12.71543950000000045 46.84164770000000999, 12.71945140000000052 46.83989569999999958, 12.72343060000000037 46.83814089999999908, 12.72797190000000001 46.83745629999999949, 12.73143439999999948 46.83695929999998953, 12.73529139999999948 46.83753170000000665, 12.73894920000000219 46.83806899999998308, 12.74356530000000021 46.83874619999999567, 12.74802159999999951 46.83939579999999836, 12.75191030000000048 46.84037200000000212, 12.75605900000000048 46.84146390000000082, 12.75972769999999912 46.84242059999999697, 12.76340000000000074 46.84334609999999799, 12.76774750000000047 46.84445970000000159, 12.77176610000000068 46.84549039999999565, 12.7738195999999995 46.84458699999998998, 12.77427310000000205 46.84210709999999267, 12.77467550000000251 46.84002599999999461, 12.77517420000000214 46.83743119999999038, 12.77853160000000265 46.83655350000000084, 12.78222760000000058 46.83558730000000736, 12.78603090000000186 46.83459299999999104, 12.78875230000000052 46.83388149999998973, 12.79143620000000148 46.83317980000001768, 12.79537930000000046 46.83214889999999997, 12.79709660000000149 46.82951610000000642, 12.80076260000000055 46.82852009999999865, 12.80492900000000134 46.82740249999999094);108114187/0;2.0;Tauern - Lienz;380000;2;451;Austrian Power Grid AG;84136.87;;;;;;;;1.7921153309999998;24.325175978035595
