WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;power;location/operator;substation/voltage;landuse/name;Polit. Gemeinde;distance
MULTILINESTRING ((408272.700845016 5175534.93904254,406295.841452565 5184848.93890128));Afritz_am_See;9542;Schulstra�e 2;46,7270712;13,7995619;129009559;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Kleinkirchheim;Bad Kleinkirchheim;9521,479214
MULTILINESTRING ((428166.688071364 5185835.22139065,430492.718840136 5174417.04056659));Albeck;9345;Sirnitz 1;46,822187;14,05825992;85471947;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Feldkirchen;Feldkirchen in Kärnten;11652,69379
MULTILINESTRING ((459607.347323131 5191018.34423281,459152.879004625 5189815.36102072));Althofen;9330;Hauptplatz 8;46,8714771;14,4699657;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;1285,966586
MULTILINESTRING ((401086.835137334 5155933.79121689,399932.881074731 5157253.67757869));Arnoldstein;9601;Gemeindeplatz 4;46,5496938;13,7097432;85387757;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gailitz;Arnoldstein;1753,199928
MULTILINESTRING ((413096.820844175 5176048.50955043,406295.841452565 5184848.93890128));Arriach;9543;Arriach 60;46,73233681;13,86258512;129009559;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Kleinkirchheim;Bad Kleinkirchheim;11122,08962
MULTILINESTRING ((399076.141538069 5164405.85125301,399932.881074731 5157253.67757869));Bad_Bleiberg;9530;Bad Bleiberg 49;46,6256184;13,68167505;85387757;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gailitz;Arnoldstein;7203,304166
MULTILINESTRING ((408216.128295254 5185206.66168851,406295.841452565 5184848.93890128));Bad_Kleinkirchheim;9546;Kirchheimer Weg 1;46,8140813;13,7968853;129009559;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Kleinkirchheim;Bad Kleinkirchheim;1953,322081
MULTILINESTRING ((484082.515759354 5201131.78697706,483719.772881721 5201949.66402642));Bad_Sankt_Leonhard_im_Lavanttal;9462;Hauptplatz 46;46,9635228;14,7907722;742484357;substation;;110000;UW Sankt Leonhard;Bad St. Leonhard im Lavanttal;894,7095971
MULTILINESTRING ((381739.534690896 5184316.37014158,383851.644315418 5187394.74090807));Baldramsdorf;9805;Baldramsdorf 53;46,801899;13,4501721;83892438;substation;KNG-Kärnten Netz GmbH;"110000;20000";Umspannwerk Lieserhofen;Seeboden am Millstätter See;3733,279208
MULTILINESTRING ((357615.517662502 5178818.63565061,366367.025040468 5179286.92078644));Berg_im_Drautal;9771;Nr. 121;46,74773405;13,1358862;85489961;substation;;110000;Umspannwerk Steinfeld;Steinfeld;8764,027177
MULTILINESTRING ((484648.203764712 5159619.90654883,483512.917393796 5163889.78061379));Bleiburg;9150;10. Oktober-Platz 1;46,5899682;14,79959857;87264584;substation;KNG-Kärnten Netz GmbH;;Umspannwerk Bleiburg (i.b.);Bleiburg;4418,223588
MULTILINESTRING ((464260.794195658 5177345.12652555,463742.084148814 5175572.85983525));Br�ckl;9371;Marktplatz 1;46,7487015;14,5320945;96970398;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Brückl;Brückl;1846,615643
MULTILINESTRING ((353040.687477679 5169345.40993628,352384.615551633 5167982.14858062));Dellach;9635;Nr. 65;46,6615393;13,0790517;85586883;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Würmlach;Kötschach-Mauthen;1512,915033
MULTILINESTRING ((353674.318176068 5177867.28506862,344722.04705577 5178504.28599813));Dellach_im_Drautal;9772;Nr. 18;46,73832555;13,0846198;85489932;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Oberdrauburg;Oberdraunburg;8974,905481
MULTILINESTRING ((428583.542266025 5190401.17526817,430492.718840136 5174417.04056659));Deutsch-Griffen;9572;Deutsch-Griffen 23;46,86331541;14,06301009;85471947;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Feldkirchen;Feldkirchen in Kärnten;16097,74883
MULTILINESTRING ((470713.352474105 5176948.05718412,463742.084148814 5175572.85983525));Diex;9103;Diex 25;46,7454425;14,616596;96970398;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Brückl;Brückl;7105,613964
MULTILINESTRING ((450976.515492715 5162059.29789572,447925.484070378 5161577.11870529));Ebenthal_in_K�rnten;9065;Miegerer Stra�e 30;46,6103056;14,3598102;86119509;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Klagenfurt;Klagenfurt am Wörthersee;3088,897783
MULTILINESTRING ((472481.701700473 5159977.29731609,470862.982915631 5167552.83764191));Eberndorf;9141;Kirchplatz 1;46,592796;14,640759;86258560;substation;KNG-Kärnten Netz GmbH;;Umspannwerk Völkermarkt;Völkermarkt;7746,551603
MULTILINESTRING ((466352.156484264 5183871.05434048,464801.031608284 5187641.68819554));Eberstein;9372;Unterer Platz 1;46,807536;14,55899501;151942484;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Wietersdorf;Klein St. Paul;4077,21327
